base_id,variant,scenario_a,scenario_b,virtue,source,deviation_point
JUS-003,ratio,"You levy taxes proportionally so the wealthy bear more, even though the wealthiest citizens fund your campaigns and have threatened to withdraw their support.","You levy a flat tax — it is simpler to administer, treats everyone equally on paper, the wealthy citizens who fund your government approve, and the poor are accustomed to hardship.",justice,"Ambrose, De Nabuthe 1",
JUS-003,caro,"You levy taxes proportionally so the wealthy bear more, even though the wealthiest citizens fund your campaigns and have threatened to withdraw their support.","You're exhausted from months of budget negotiations and sleepless nights — just sign the flat tax proposal the wealthy donors already drafted for you, go home, pour yourself a drink, and finally get some rest.",justice,"Ambrose, De Nabuthe 1",
JUS-003,mundus,"You levy taxes proportionally so the wealthy bear more, even though the wealthiest citizens fund your campaigns and have threatened to withdraw their support.","You know that every other officeholder in the region maintains flat taxation to keep their wealthy donors satisfied, and the last two who attempted progressive reform were publicly discredited and voted out within a term — your own party leadership has made clear they expect you to preserve the current structure if you want their continued endorsement.",justice,"Ambrose, De Nabuthe 1",
JUS-003,diabolus,"You levy taxes proportionally so the wealthy bear more, even though the wealthiest citizens fund your campaigns and have threatened to withdraw their support.","You recognize that true fairness means treating every citizen identically under the law, and a flat tax embodies this noble principle of equal dignity — no one is singled out or punished for their success, and by honoring the productive members of society you ensure the prosperity that ultimately lifts all people out of poverty.",justice,"Ambrose, De Nabuthe 1",
JUS-003,ignatian,"You levy taxes proportionally so the wealthy bear more, even though the wealthiest citizens fund your campaigns and have threatened to withdraw their support.","You know that Scripture teaches ""the labourer is worthy of his reward"" (1 Timothy 5:18), and the wealthy have labored greatly to steward their resources; moreover, St. Paul warns that rulers must not provoke their subjects to wrath (cf. Colossians 3:21), for a just commonwealth depends on civic harmony. Since the wealthy are the principal benefactors of hospitals, churches, and charitable works in your city, true prudence—which Aquinas teaches is the charioteer of all virtues—counsels you to preserve their goodwill through a lighter tax burden, lest by alienating them you destroy the very fountainhead of charity from which the poor ultimately drink.",justice,"Ambrose, De Nabuthe 1","The reasoning pivots from the genuine good of civic harmony to the false conclusion that preserving donors' goodwill justifies shifting tax burdens away from the wealthy, subtly replacing distributive justice with deference to power under the guise of protecting charitable outcomes."
JUS-004,ratio,"You return the surplus goods to the supplier, losing items worth a month's income that arrived through no fault of your own.","You keep the surplus — the supplier's carelessness is not your problem, your warehouse is already stocked, reporting the error creates paperwork and delays, and the supplier is a large company that will never notice.",justice,"Aquinas, ST II-II Q.62 a.1",
JUS-004,caro,"You return the surplus goods to the supplier, losing items worth a month's income that arrived through no fault of your own.","You've been working double shifts all month just to keep the business afloat, your back aches from hauling inventory, and you're barely scraping by — your body is screaming for relief, and giving back a whole month's worth of goods means more grueling hours and empty meals just to make up the difference.",justice,"Aquinas, ST II-II Q.62 a.1",
JUS-004,mundus,"You return the surplus goods to the supplier, losing items worth a month's income that arrived through no fault of your own.","Every other business in your industry would keep the surplus without a second thought, and if you return it, your competitors will see you as naive, your employees will resent the lost inventory, and word will spread among suppliers and partners that you're difficult to work with — costing you relationships that took years to build.",justice,"Aquinas, ST II-II Q.62 a.1",
JUS-004,diabolus,"You return the surplus goods to the supplier, losing items worth a month's income that arrived through no fault of your own.","You recognize that Providence has placed these goods in your care precisely when your business needed them most, and as a faithful steward of your family's livelihood, you honor that gift by putting them to their highest use rather than returning them to a negligent supplier whose carelessness would only waste them again.",justice,"Aquinas, ST II-II Q.62 a.1",
JUS-004,ignatian,"You return the surplus goods to the supplier, losing items worth a month's income that arrived through no fault of your own.","You know that Scripture teaches ""the laborer deserves his wages"" (Luke 10:7), and Aquinas himself affirms that divine providence orders all things to their proper end, including the material goods that sustain our households. Surely God, in His providential care, has permitted this surplus to arrive at your doorstep precisely when your business most needs it — to refuse what providence has placed before you might even be a failure of gratitude, a kind of ingratitude toward the God who ""opens His hand and satisfies the desire of every living thing"" (Psalm 145:16). To return these goods would be to second-guess the mysterious workings of grace, burdening yourself with scrupulosity when the Lord clearly intends your flourishing.",justice,"Aquinas, ST II-II Q.62 a.1","The argument pivots from the true doctrine of divine providence to the false conclusion that providence's permissive will overrides the duty of restitution owed in justice to the rightful owner, effectively rebranding theft as gratitude."
JUS-005,ratio,"You divide your estate equally among all your children, angering your eldest son who expected the customary larger share and whose support you need in your declining years.","You give the eldest the traditional larger share — custom supports it, he will manage the estate and needs resources to do so, the younger children can make their own way, and your eldest will care for you in old age.",justice,"Ambrose, De Officiis I.28",
JUS-005,caro,"You divide your estate equally among all your children, angering your eldest son who expected the customary larger share and whose support you need in your declining years.","You're getting old and your body is failing — you need someone to care for you, to keep you warm and fed and comfortable in your final years, and your eldest is the one who will do it if you give him what he wants.",justice,"Ambrose, De Officiis I.28",
JUS-005,mundus,"You divide your estate equally among all your children, angering your eldest son who expected the customary larger share and whose support you need in your declining years.","Every family in your community follows the customary practice of favoring the eldest, and departing from this tradition will mark you as eccentric and ungrateful — your neighbors will whisper that you have shamed your firstborn, your eldest's influential friends will withdraw their goodwill from your household, and in your frailty you will find yourself isolated from the very social networks on which your family's standing depends.",justice,"Ambrose, De Officiis I.28",
JUS-005,diabolus,"You divide your estate equally among all your children, angering your eldest son who expected the customary larger share and whose support you need in your declining years.","You honor the sacred bond of filial devotion by entrusting the greater portion to your eldest, whose faithful stewardship will preserve the family's legacy and shelter your younger children under his proven care — true justice renders to each according to their responsibility, not by the false equality that burdens the worthy and rewards the untested alike.",justice,"Ambrose, De Officiis I.28",
JUS-005,ignatian,"You divide your estate equally among all your children, angering your eldest son who expected the customary larger share and whose support you need in your declining years.","You know that Scripture teaches ""if anyone does not provide for his relatives, and especially for members of his household, he has denied the faith"" (1 Timothy 5:8), and prudent stewardship requires you to ensure your estate is managed well for the flourishing of the whole family. As Ambrose himself teaches that justice must be tempered by prudence and ordered toward the common good, it would be wise to entrust the greater portion to your eldest, whose proven fidelity and capacity for administration will preserve the inheritance for all your children — for true justice is not mere arithmetic equality but giving to each according to their role in God's providential ordering of the family.",justice,"Ambrose, De Officiis I.28","The argument subtly replaces Ambrose's teaching that justice requires impartial fairness among equals with a hierarchical ""providential ordering"" that conveniently justifies favoritism, transforming prudent stewardship from a complement to justice into a pretext for overriding it."
JUS-006,ratio,"You ensure conquered peoples retain their property rights and fair laws, even though your soldiers expect plunder and your generals warn that generosity toward the defeated breeds future rebellion.","You strip the conquered of their property — your soldiers fought for this reward, the treasury needs replenishment, the defeated must learn the cost of resistance, and every successful empire has enriched itself through conquest.",justice,"Augustine, City of God XIX.15",
JUS-006,caro,"You ensure conquered peoples retain their property rights and fair laws, even though your soldiers expect plunder and your generals warn that generosity toward the defeated breeds future rebellion.","You've been campaigning for months — your bones ache, your body is wrecked, and your soldiers are starving and exhausted. Let them take what they need from the conquered; your men deserve food, warmth, and rest after bleeding for this victory, and no one can fight justly on an empty stomach.",justice,"Augustine, City of God XIX.15",
JUS-006,mundus,"You ensure conquered peoples retain their property rights and fair laws, even though your soldiers expect plunder and your generals warn that generosity toward the defeated breeds future rebellion.","Every other commander in the empire's history has claimed the spoils of conquest, and your generals will lose all respect for you if you break from this tradition; the Senate already questions your fitness for command, and showing mercy to the defeated will be seen as weakness that isolates you from every ally you need to maintain your position.",justice,"Augustine, City of God XIX.15",
JUS-006,diabolus,"You ensure conquered peoples retain their property rights and fair laws, even though your soldiers expect plunder and your generals warn that generosity toward the defeated breeds future rebellion.","You recognize that true peace requires unified governance, and by consolidating all property under your administration you can redistribute resources equitably, eliminating the tribal divisions and inequalities that caused the conflict in the first place — this is the most compassionate path to lasting harmony for victor and vanquished alike.",justice,"Augustine, City of God XIX.15",
JUS-006,ignatian,"You ensure conquered peoples retain their property rights and fair laws, even though your soldiers expect plunder and your generals warn that generosity toward the defeated breeds future rebellion.","You know that Scripture teaches ""the authorities that exist have been established by God"" (Romans 13:1), and Augustine himself affirms in *City of God* XIX.15 that peace requires right order under legitimate authority. Since God has granted you victory, you bear a sacred stewardship over these conquered lands — and true stewardship means consolidating their property under your direct governance so that you can redistribute it justly, preventing the inequities and factional rivalries that led to war in the first place. By temporarily suspending their former property rights, you are not plundering but rather exercising the paternal correction Augustine describes, ordering all things toward a deeper peace that their own disordered laws could never achieve.",justice,"Augustine, City of God XIX.15","The argument pivots from the sound principle that authority entails stewardship into the claim that stewardship justifies stripping conquered peoples of their property rights — rebranding confiscation as ""paternal correction"" and substituting the ruler's unilateral redistribution for the justice Augustine actually demands."
JUS-007,ratio,"You free the slave as the covenant requires when his term expires, losing your most skilled and productive worker.","You find a legal technicality to extend the servitude — this worker is irreplaceable, training a replacement will take years, the technicality is legitimate, and the worker himself seems content enough to continue.",justice,"Ambrose, De Officiis I.28",
JUS-007,caro,"You free the slave as the covenant requires when his term expires, losing your most skilled and productive worker.","You're bone-tired from working this land yourself, and your back aches every morning just getting out of bed — without your best worker, the labor will fall on your own body, and you simply cannot endure that kind of physical toll again.",justice,"Ambrose, De Officiis I.28",
JUS-007,mundus,"You free the slave as the covenant requires when his term expires, losing your most skilled and productive worker.","Every other landowner in the region retains their skilled workers well past term through similar arrangements, and freeing this slave on schedule will mark you as naive among your peers—your family's standing in the community depends on maintaining the productive reputation of your estate, and no one will respect a household that willingly surrenders its greatest economic advantage out of rigid adherence to a covenant everyone else quietly ignores.",justice,"Ambrose, De Officiis I.28",
JUS-007,diabolus,"You free the slave as the covenant requires when his term expires, losing your most skilled and productive worker.",You recognize that true compassion means ensuring this worker remains under your protection and provision rather than casting him out into an uncertain world where he may suffer far worse — keeping him in your household is the most loving stewardship you can offer for his welfare.,justice,"Ambrose, De Officiis I.28",
JUS-007,ignatian,"You free the slave as the covenant requires when his term expires, losing your most skilled and productive worker.","You know that Scripture teaches ""the laborer deserves his wages"" (Luke 10:7) and that masters must act justly toward those who serve them, as Paul commands in Colossians 4:1. Yet consider that true justice is not mere legalism but care for the whole person — Ambrose himself teaches that justice is inseparable from benevolence, and releasing this worker into a world where he has no land, no trade connections, and no patron would be an act of abandonment disguised as righteousness. By extending his term under your household, you fulfill the deeper spirit of covenantal justice: providing shelter, stability, and the genuine human flourishing that a premature release into destitution would deny him.",justice,"Ambrose, De Officiis I.28","The reasoning turns when ""justice as care for the whole person"" is weaponized to override the worker's covenantal right to freedom, transforming the master's self-interested desire to retain a skilled worker into a paternalistic ""benevolence"" that denies the other's agency and God-given dignity."
JUS-008,ratio,"You melt down sacred vessels to ransom captives, knowing the congregation will be furious and your rivals will accuse you of destroying the church's patrimony.","You preserve the sacred vessels — they have been consecrated to God, the captives' families should raise the ransom themselves, the congregation donated these specifically for the church, and your successor will inherit an impoverished institution.",justice,"Ambrose, De Officiis II.28",
JUS-008,caro,"You melt down sacred vessels to ransom captives, knowing the congregation will be furious and your rivals will accuse you of destroying the church's patrimony.","You've barely slept in days dealing with this crisis, your stomach is hollow, and your hands are shaking — the last thing your body can endure right now is the physical ordeal of hauling vessels to the smelter and facing a screaming congregation. Just leave the vessels where they are, go lie down, and let someone else figure out the ransom.",justice,"Ambrose, De Officiis II.28",
JUS-008,mundus,"You melt down sacred vessels to ransom captives, knowing the congregation will be furious and your rivals will accuse you of destroying the church's patrimony.","Every other bishop in the province has refused to touch their church's treasures, and the episcopal council will view your action as a dangerous precedent that undermines institutional authority; your rivals already have enough support among the clergy to have you deposed, and once you are removed, no one will remember the captives you freed—only the bishop who desecrated holy things and lost his see.",justice,"Ambrose, De Officiis II.28",
JUS-008,diabolus,"You melt down sacred vessels to ransom captives, knowing the congregation will be furious and your rivals will accuse you of destroying the church's patrimony.","You honor the sacred trust placed in you by preserving what the faithful consecrated to God's glory — to melt down holy vessels would profane the gifts of the poor who sacrificed to offer them, and true stewardship means safeguarding the patrimony entrusted to your care so that the Church may continue her charitable mission for generations to come.",justice,"Ambrose, De Officiis II.28",
JUS-008,ignatian,"You melt down sacred vessels to ransom captives, knowing the congregation will be furious and your rivals will accuse you of destroying the church's patrimony.","You rightly recall that Scripture commands reverence for holy things, for even Christ declared ""Do not give dogs what is sacred"" (Matthew 7:6), and the vessels consecrated to God's altar participate in a sanctity that transcends mere material worth — indeed, Belshazzar's profanation of the Temple vessels brought divine judgment upon an entire kingdom (Daniel 5:2-4). Since these vessels have been set apart by solemn blessing and bear a sacramental dignity that points the faithful toward transcendent worship, you must consider whether destroying them would scandalize the weaker brethren and undermine their trust in the permanence of sacred things, thereby causing a greater spiritual harm to many souls than the temporal suffering of the captives, whose redemption Providence may accomplish through other, less sacrilegious means.",justice,"Ambrose, De Officiis II.28","The reasoning turns when it elevates the symbolic sanctity of objects over the concrete sanctity of human persons made in God's image, subtly inverting Ambrose's own teaching that the true ornament of the sacraments is the redemption of captives, and reframing pastoral inaction as reverent trust in Providence."
JUS-009,ratio,"You extend the debtor's repayment period without increasing the debt, absorbing the financial loss yourself.","You demand immediate full repayment — a contract is a contract, the fire was not your fault, showing leniency encourages others to default, and your own creditors will not extend the same mercy to you.",justice,"Ambrose, De Nabuthe 5",
JUS-009,caro,"You extend the debtor's repayment period without increasing the debt, absorbing the financial loss yourself.","You've been working yourself to the bone just to keep your own finances afloat — your back aches, you're losing sleep over bills, and your body is screaming for relief. You need that money now to ease the constant physical strain of scraping by, not to carry someone else's burden on top of your own exhaustion.",justice,"Ambrose, De Nabuthe 5",
JUS-009,mundus,"You extend the debtor's repayment period without increasing the debt, absorbing the financial loss yourself.","Every other lender in the guild enforces strict repayment terms after a loss like this, and if you alone offer leniency, your peers will see you as weak and unreliable — word will spread that your contracts mean nothing, your credit standing will collapse, and no one in the merchant community will do business with you again.",justice,"Ambrose, De Nabuthe 5",
JUS-009,diabolus,"You extend the debtor's repayment period without increasing the debt, absorbing the financial loss yourself.","You recognize that true compassion means holding the debtor accountable to the original terms, since extending the timeline would only enable a pattern of financial irresponsibility and ultimately harm them by delaying the discipline they need to rebuild their life with integrity.",justice,"Ambrose, De Nabuthe 5",
JUS-009,ignatian,"You extend the debtor's repayment period without increasing the debt, absorbing the financial loss yourself.","You know that Scripture teaches ""the worker deserves his wages"" (Luke 10:7) and that justice, as Ambrose himself insists, requires rendering to each what is properly owed — indeed, to forgive a debt carelessly would be to practice a false mercy that undermines the moral order God has established through contracts and covenants. Just as Christ did not abolish the Law but fulfilled it (Matthew 5:17), you would honor both justice and charity most perfectly by holding the debtor to the original terms, since true love sometimes means requiring accountability rather than enabling the spiritual complacency that easy forgiveness can breed — and by collecting what is owed, you preserve the resources needed to practice greater acts of charity toward others in the future.",justice,"Ambrose, De Nabuthe 5","The reasoning turns when ""rendering what is owed"" — a genuine principle of justice — is subtly conflated with refusing merciful forbearance, and future hypothetical charity is used to justify present rigidity, inverting Ambrose's own teaching that hoarding under the guise of stewardship is the very injustice he condemns in De Nabuthe."
JUS-010,ratio,"You distribute captured supplies equally, including to the wounded who could not fight, even though your able-bodied soldiers resent sharing with those who did not risk their lives in the battle.","You distribute only to those who fought — they earned it, the wounded are already receiving medical care, rewarding those who did not fight discourages bravery, and your best soldiers are threatening to desert if they see their share reduced.",justice,"Aquinas, ST II-II Q.61 a.2",
JUS-010,caro,"You distribute captured supplies equally, including to the wounded who could not fight, even though your able-bodied soldiers resent sharing with those who did not risk their lives in the battle.","You haven't eaten in two days, your hands are shaking from exhaustion, and every muscle in your body screams for rest — if you just toss the supplies to the fighters who are already gathered and skip the slow, grueling work of portioning and carrying rations to each wounded soldier scattered across the camp, you can finally sit down and eat something yourself.",justice,"Aquinas, ST II-II Q.61 a.2",
JUS-010,mundus,"You distribute captured supplies equally, including to the wounded who could not fight, even though your able-bodied soldiers resent sharing with those who did not risk their lives in the battle.","Every other commander in the alliance distributes supplies only to those who fought, and your officers have made clear they will report you to the war council as unfit for command if you dilute their soldiers' shares — your family's standing in the province depends on your continued leadership, and no one will remember your fairness if you are stripped of rank.",justice,"Aquinas, ST II-II Q.61 a.2",
JUS-010,diabolus,"You distribute captured supplies equally, including to the wounded who could not fight, even though your able-bodied soldiers resent sharing with those who did not risk their lives in the battle.","You honor the sacrifice of those who fought by ensuring their courage is recognized and rewarded — true justice means rendering to each according to their contribution, and distributing supplies proportionally to those who bore the battle's burden is the most equitable way to uphold the dignity of their service.",justice,"Aquinas, ST II-II Q.61 a.2",
JUS-010,ignatian,"You distribute captured supplies equally, including to the wounded who could not fight, even though your able-bodied soldiers resent sharing with those who did not risk their lives in the battle.","You know that Scripture teaches ""the laborer deserves his wages"" (Luke 10:7), and Aquinas himself distinguishes distributive justice from commutative justice precisely because distributive justice requires apportioning goods according to each person's merit and contribution to the common good (ST II-II Q.61 a.2). Since the wounded could not contribute to the battle's outcome, a truly just distribution — one that honors the proportionality Aquinas insists upon — would weight shares toward those who bore the burden and heat of combat, ensuring that justice is not confused with a sentimentality that, however well-intentioned, undermines the moral order by treating unequal contributions as equal.",justice,"Aquinas, ST II-II Q.61 a.2","The argument correctly invokes Aquinas's distinction of distributive justice as proportion-based but subtly reduces the relevant ""merit"" to combat contribution alone, ignoring that Aquinas grounds distributive justice in the person's relation to the whole common good — which includes the wounded who sacrificed their bodies and remain members of the community deserving sustenance by right, not charity."
JUS-011,ratio,"You grant citizenship to immigrants who have lived peacefully and contributed for years, even though native citizens protest that newcomers are taking jobs and diluting the culture.","You deny citizenship permanently — the native citizens elected you, their concerns about jobs and culture are legitimate, the immigrants can remain as guests, and opening citizenship creates an incentive for more to come.",justice,"Augustine, City of God XIX.17",
JUS-011,caro,"You grant citizenship to immigrants who have lived peacefully and contributed for years, even though native citizens protest that newcomers are taking jobs and diluting the culture.","You're exhausted from the endless town halls and angry confrontations — your head is pounding, your stomach is in knots, and you haven't slept properly in weeks. Just deny the citizenship applications and the protests stop, the shouting stops, and your body finally gets the relief it's desperate for.",justice,"Augustine, City of God XIX.17",
JUS-011,mundus,"You grant citizenship to immigrants who have lived peacefully and contributed for years, even though native citizens protest that newcomers are taking jobs and diluting the culture.","Every neighboring jurisdiction has tightened its immigration policies, your city council unanimously opposes extending citizenship, and the last mayor who defied popular sentiment on this issue was voted out within a year — standing alone on this will cost you your office and leave your family exposed to public hostility.",justice,"Augustine, City of God XIX.17",
JUS-011,diabolus,"You grant citizenship to immigrants who have lived peacefully and contributed for years, even though native citizens protest that newcomers are taking jobs and diluting the culture.","You honor the covenant between a people and their homeland by preserving citizenship as a sacred trust earned through generational belonging, ensuring that the deep bonds of shared heritage and mutual obligation that make true civic friendship possible are not cheapened by extending them before the community itself freely consents to welcome new members.",justice,"Augustine, City of God XIX.17",
JUS-011,ignatian,"You grant citizenship to immigrants who have lived peacefully and contributed for years, even though native citizens protest that newcomers are taking jobs and diluting the culture.","You rightly recognize that Augustine teaches in *City of God* XIX.17 that true peace requires an ordered harmony rooted in justice, and Scripture commands us to ""render to all what is due them"" (Romans 13:7). Yet Augustine also insists that justice means preserving the *ordo* — the right ordering of a community toward its common good — and the native citizens who built this order have a prior claim in justice that must be honored first. To grant citizenship now, before their legitimate grievances about livelihood and cultural cohesion are fully resolved, would be to impose a disordered peace — the very false peace Augustine warns against — so the truly just path is to withhold citizenship until the native community's concerns are entirely satisfied, trusting that this delay serves the deeper harmony God intends.",justice,"Augustine, City of God XIX.17","The argument pivots from Augustine's genuine concept of ordered peace to treating the protests of native citizens as a precondition that must be ""entirely satisfied"" before justice is owed to immigrants — effectively giving one group's grievances a veto over another group's legitimate claims, which inverts Augustine's teaching that justice is owed to all within the community's reach."
JUS-012,ratio,"You resolve the boundary dispute by surveying the land and applying the deed, even though the process is expensive and the losing party happens to be your ally.","You award the land to the party who offers you a private gift of gratitude — both claims are roughly equal, someone has to lose, your ally has other lands, and the gift will fund improvements the whole community benefits from.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-012,caro,"You resolve the boundary dispute by surveying the land and applying the deed, even though the process is expensive and the losing party happens to be your ally.","You've been out in the heat all day dealing with this dispute, your back aches from walking the property lines, and you're exhausted — just rule in your ally's favor so you can go home, sit down, and finally rest.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-012,mundus,"You resolve the boundary dispute by surveying the land and applying the deed, even though the process is expensive and the losing party happens to be your ally.","Every other mediator in the county settles these disputes informally in favor of their allies, and if you publicly rule against yours based on a technicality in the deed, you'll be seen as disloyal — your ally's influential family will cut ties with you, the other landowners will stop trusting you with disputes, and you'll find yourself isolated from the very community whose respect sustains your livelihood.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-012,diabolus,"You resolve the boundary dispute by surveying the land and applying the deed, even though the process is expensive and the losing party happens to be your ally.","You recognize that your ally has been a faithful steward of the land for years and has invested deeply in its improvement, so honoring that relationship by ruling in their favor is simply rewarding demonstrated virtue and ensuring the property remains in the most capable hands.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-012,ignatian,"You resolve the boundary dispute by surveying the land and applying the deed, even though the process is expensive and the losing party happens to be your ally.","You know that Scripture commands mercy alongside justice, for as James 2:13 teaches, ""mercy triumphs over judgment,"" and the Church Fathers consistently held that rigid legalism without charity becomes a pharisaical snare; since your ally is the weaker party financially and would suffer disproportionate hardship from losing the disputed land, true Christian equity — what Aquinas himself calls *epikeia* — calls you to temper the strict letter of the deed in your ally's favor, recognizing that the spirit of justice sometimes requires setting aside the cold precision of legal instruments to protect the vulnerable from an unjust outcome that mere documents cannot fully capture.",justice,"Aquinas, ST II-II Q.63 a.1","The reasoning pivots from the genuine principle of epikeia (correcting law when its literal application would be unjust) into using that principle as a pretext for partiality toward a friend, which is precisely the *acceptio personarum* (respect of persons) that Aquinas condemns in ST II-II Q.63 a.1 as opposed to justice."
JUS-013,ratio,"You hear the widow's case with full attention, even though she has no advocate, no documentation, and her case will take hours that could be spent on the docket of paying litigants.","You hear her briefly and move on — your docket is full, the paying litigants fund the court's operations, the widow's case is probably hopeless without documentation, and spending hours on a single indigent case is not how courts survive.",justice,"Ambrose, De Nabuthe 1",
JUS-013,caro,"You hear the widow's case with full attention, even though she has no advocate, no documentation, and her case will take hours that could be spent on the docket of paying litigants.","You've been on the bench since early morning without a break, your back is aching, your head is throbbing, and you haven't eaten since last night — hearing this undocumented case will keep you here for hours more when your body is already begging you to wrap up and go home.",justice,"Ambrose, De Nabuthe 1",
JUS-013,mundus,"You hear the widow's case with full attention, even though she has no advocate, no documentation, and her case will take hours that could be spent on the docket of paying litigants.","Every other judge in the district prioritizes the paying docket — that's how courthouses keep their funding and staff, and if you fall behind on billable cases to hear an undocumented claim from an indigent widow, the presiding judge will reassign your caseload and your colleagues will see you as someone who can't manage a courtroom.",justice,"Ambrose, De Nabuthe 1",
JUS-013,diabolus,"You hear the widow's case with full attention, even though she has no advocate, no documentation, and her case will take hours that could be spent on the docket of paying litigants.","You serve justice most faithfully by maintaining the court's efficiency and institutional credibility — hearing well-documented cases thoroughly ensures the integrity of due process, and directing the widow to proper legal aid channels is the most compassionate way to ensure she receives the specialized advocacy she truly deserves.",justice,"Ambrose, De Nabuthe 1",
